"","age","pdays","previous","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","pdays_Specific","month_summer","job.retired","job.student","marital.single","education.university.degree","default.no","contact.cellular","month.apr","month.aug","month.jun","month.mar","month.may","month.nov","month.oct","day_of_week.mon","day_of_week.tue","poutcome.failure","poutcome.nonexistent","age_supervised_bin.1stQuantile","age_supervised_bin.2ndQuantile","campaign_supervised_bin.HIGH","adminManaTechNeg","BlueColServices","job.binned.misc._level_pos.","Education9Y6Y","client_id"
"7033",37,999,0,1.4,93.444,-36.1,4.966,5228.1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,110
"7034",31,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,114
"7035",35,999,1,-0.1,93.2,-42,4.153,5195.8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,115
"7036",31,999,0,-0.1,93.2,-42,4.021,5195.8,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,119
"7037",60,999,0,1.4,93.918,-42.7,4.968,5228.1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,120
"7038",25,999,0,1.4,93.918,-42.7,4.963,5228.1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,124
"7039",26,999,0,-2.9,92.963,-40.8,1.26,5076.2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,126
"7040",46,999,0,-2.9,92.469,-33.6,1.072,5076.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,130
"7041",43,999,0,1.4,93.918,-42.7,4.96,5228.1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,131
"7042",29,999,0,1.4,94.465,-41.8,4.947,5228.1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,137
"7043",56,999,0,1.4,94.465,-41.8,4.967,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,142
"7044",36,999,0,1.4,93.444,-36.1,4.967,5228.1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,147
"7045",45,999,0,1.1,93.994,-36.4,4.856,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,153
"7046",45,999,0,-0.1,93.2,-42,4.12,5195.8,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,157
"7047",49,999,0,-1.8,93.075,-47.1,1.415,5099.1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,159
"7048",25,999,0,1.4,94.465,-41.8,4.958,5228.1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,160
"7049",31,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,164
"7050",43,3,1,-1.8,92.893,-46.2,1.354,5099.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,169
"7051",44,999,0,-1.8,92.893,-46.2,1.244,5099.1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,171
"7052",42,999,0,1.4,94.465,-41.8,4.864,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,172
"7053",50,999,0,1.4,93.918,-42.7,4.963,5228.1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,174
"7054",38,999,0,1.4,93.444,-36.1,4.963,5228.1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,178
"7055",32,999,0,-2.9,92.201,-31.4,0.873,5076.2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,181
"7056",35,999,0,-0.1,93.2,-42,4.153,5195.8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,182
"7057",40,999,0,1.4,94.465,-41.8,4.864,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,184
"7058",30,999,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,186
"7059",54,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,187
"7060",22,999,0,1.4,93.918,-42.7,4.96,5228.1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,192
"7061",26,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,194
"7062",35,999,1,-0.1,93.2,-42,4.12,5195.8,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,195
"7063",33,999,0,1.4,93.444,-36.1,4.964,5228.1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,197
"7064",30,999,0,-0.1,93.2,-42,4.076,5195.8,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,199
"7065",50,999,0,1.4,94.465,-41.8,4.866,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,203
"7066",82,3,4,-1.1,94.199,-37.5,0.879,4963.6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,204
"7067",54,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,206
"7068",47,999,0,1.4,93.444,-36.1,4.966,5228.1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,208
"7069",43,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,209
"7070",24,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,216
"7071",29,999,0,-2.9,92.963,-40.8,1.268,5076.2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,227
"7072",57,999,0,1.1,93.994,-36.4,4.858,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,230
"7073",33,999,0,-1.8,92.893,-46.2,1.344,5099.1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,232
"7074",53,999,0,1.1,93.994,-36.4,4.86,5191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,237
"7075",29,999,0,1.4,93.444,-36.1,4.968,5228.1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,240
"7076",41,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,248
"7077",36,999,0,1.4,93.918,-42.7,4.963,5228.1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,250
"7078",29,999,0,1.4,94.465,-41.8,4.962,5228.1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,254
"7079",32,999,0,1.1,93.994,-36.4,4.859,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,257
"7080",30,999,0,1.4,93.444,-36.1,4.964,5228.1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,258
"7081",52,999,0,-1.8,92.893,-46.2,1.244,5099.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,264
"7082",49,999,0,1.1,93.994,-36.4,4.856,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,266
"7083",54,999,0,-2.9,92.201,-31.4,0.838,5076.2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,268
"7084",48,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,273
"7085",37,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,276
"7086",40,999,0,-0.1,93.2,-42,4.12,5195.8,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,278
"7087",35,999,0,1.1,93.994,-36.4,4.856,5191,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,285
"7088",36,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,288
"7089",57,999,0,1.4,93.918,-42.7,4.959,5228.1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,289
"7090",47,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,291
"7091",34,999,0,1.1,93.994,-36.4,4.859,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,292
"7092",34,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,294
"7093",57,999,0,1.4,93.918,-42.7,4.961,5228.1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,298
"7094",52,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,304
"7095",39,999,0,-1.1,94.601,-49.5,0.972,4963.6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,307
"7096",30,999,2,-1.7,94.215,-40.3,0.84,4991.6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,311
"7097",43,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,320
"7098",31,999,0,-1.8,92.893,-46.2,1.291,5099.1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,323
"7099",58,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,325
"7100",33,999,1,-1.8,92.893,-46.2,1.281,5099.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,329
"7101",37,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,330
"7102",47,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,339
"7103",37,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,340
"7104",35,999,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,342
"7105",55,999,0,-0.1,93.2,-42,4.076,5195.8,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,343
"7106",31,999,0,-1.8,92.893,-46.2,1.291,5099.1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,344
"7107",51,999,0,1.1,93.994,-36.4,4.855,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,345
"7108",37,999,1,-0.1,93.2,-42,4.021,5195.8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,350
"7109",47,999,0,1.4,93.444,-36.1,4.968,5228.1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,351
"7110",40,999,0,-0.1,93.2,-42,4.153,5195.8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,356
"7111",29,999,0,-1.8,92.893,-46.2,1.291,5099.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,357
"7112",56,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,362
"7113",27,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,366
"7114",41,999,0,1.4,93.918,-42.7,4.961,5228.1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,371
"7115",40,999,0,1.1,93.994,-36.4,4.856,5191,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,385
"7116",54,999,0,1.1,93.994,-36.4,4.855,5191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,389
"7117",34,999,0,1.1,93.994,-36.4,4.858,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,403
"7118",31,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,408
"7119",40,999,1,-1.8,93.075,-47.1,1.41,5099.1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,416
"7120",29,999,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,420
"7121",30,999,1,-1.8,92.893,-46.2,1.313,5099.1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,423
"7122",40,999,0,1.4,93.918,-42.7,4.968,5228.1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,425
"7123",28,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,426
"7124",38,999,0,1.4,94.465,-41.8,4.962,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,428
"7125",36,999,0,-0.1,93.2,-42,4.12,5195.8,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,431
"7126",54,999,0,1.1,93.994,-36.4,4.856,5191,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,434
"7127",46,999,0,1.4,93.444,-36.1,4.966,5228.1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,435
"7128",35,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,439
"7129",61,3,2,-3.4,92.649,-30.1,0.715,5017.5,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,440
"7130",38,999,0,1.4,93.918,-42.7,4.961,5228.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,444
"7131",45,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,466
"7132",32,999,0,1.4,93.444,-36.1,4.963,5228.1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,467
"7133",45,999,0,1.4,93.444,-36.1,4.968,5228.1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,468
"7134",35,999,0,1.4,94.465,-41.8,4.967,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,469
"7135",43,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,471
"7136",41,999,0,-0.1,93.2,-42,4.021,5195.8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,472
"7137",25,999,0,1.1,93.994,-36.4,4.856,5191,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,473
"7138",26,999,0,-1.8,92.893,-46.2,1.354,5099.1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,477
"7139",48,999,1,-0.1,93.2,-42,4.153,5195.8,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,481
"7140",30,999,0,-0.1,93.2,-42,4.021,5195.8,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,483
"7141",46,999,0,1.1,93.994,-36.4,4.858,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,485
"7142",30,999,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,489
"7143",29,999,0,1.4,93.918,-42.7,4.96,5228.1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,493
"7144",33,999,0,1.4,93.444,-36.1,4.962,5228.1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,495
"7145",39,999,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,504
"7146",30,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,506
"7147",31,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,507
"7148",35,999,0,1.4,93.444,-36.1,4.963,5228.1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,509
"7149",35,999,1,-2.9,92.963,-40.8,1.262,5076.2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,510
"7150",56,999,0,1.4,93.444,-36.1,4.964,5228.1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,512
"7151",34,999,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,513
"7152",31,999,0,-1.8,92.893,-46.2,1.281,5099.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,514
"7153",38,999,0,-1.8,92.843,-50,1.726,5099.1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,525
"7154",49,999,0,1.4,94.465,-41.8,4.865,5228.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,529
"7155",26,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,537
"7156",36,999,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,539
"7157",44,999,0,1.1,93.994,-36.4,4.859,5191,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,543
